abbreviation,display_name,logo
ATL,Atlanta Hawks,https://a.espncdn.com/i/teamlogos/nba/500/atl.png
BOS,Boston Celtics,https://a.espncdn.com/i/teamlogos/nba/500/bos.png
BKN,Brooklyn Nets,https://a.espncdn.com/i/teamlogos/nba/500/bkn.png
CHA,Charlotte Hornets,https://a.espncdn.com/i/teamlogos/nba/500/cha.png
CHI,Chicago Bulls,https://a.espncdn.com/i/teamlogos/nba/500/chi.png
CLE,Cleveland Cavaliers,https://a.espncdn.com/i/teamlogos/nba/500/cle.png
DAL,Dallas Mavericks,https://a.espncdn.com/i/teamlogos/nba/500/dal.png
DEN,Denver Nuggets,https://a.espncdn.com/i/teamlogos/nba/500/den.png
DET,Detroit Pistons,https://a.espncdn.com/i/teamlogos/nba/500/det.png
GS,Golden State Warriors,https://a.espncdn.com/i/teamlogos/nba/500/gs.png
HOU,Houston Rockets,https://a.espncdn.com/i/teamlogos/nba/500/hou.png
IND,Indiana Pacers,https://a.espncdn.com/i/teamlogos/nba/500/ind.png
LAC,LA Clippers,https://a.espncdn.com/i/teamlogos/nba/500/lac.png
LAL,Los Angeles Lakers,https://a.espncdn.com/i/teamlogos/nba/500/lal.png
MEM,Memphis Grizzlies,https://a.espncdn.com/i/teamlogos/nba/500/mem.png
MIA,Miami Heat,https://a.espncdn.com/i/teamlogos/nba/500/mia.png
MIL,Milwaukee Bucks,https://a.espncdn.com/i/teamlogos/nba/500/mil.png
MIN,Minnesota Timberwolves,https://a.espncdn.com/i/teamlogos/nba/500/min.png
NO,New Orleans Pelicans,https://a.espncdn.com/i/teamlogos/nba/500/no.png
NY,New York Knicks,https://a.espncdn.com/i/teamlogos/nba/500/ny.png
OKC,Oklahoma City Thunder,https://a.espncdn.com/i/teamlogos/nba/500/okc.png
ORL,Orlando Magic,https://a.espncdn.com/i/teamlogos/nba/500/orl.png
PHI,Philadelphia 76ers,https://a.espncdn.com/i/teamlogos/nba/500/phi.png
PHX,Phoenix Suns,https://a.espncdn.com/i/teamlogos/nba/500/phx.png
POR,Portland Trail Blazers,https://a.espncdn.com/i/teamlogos/nba/500/por.png
SAC,Sacramento Kings,https://a.espncdn.com/i/teamlogos/nba/500/sac.png
SA,San Antonio Spurs,https://a.espncdn.com/i/teamlogos/nba/500/sa.png
TOR,Toronto Raptors,https://a.espncdn.com/i/teamlogos/nba/500/tor.png
UTAH,Utah Jazz,https://a.espncdn.com/i/teamlogos/nba/500/utah.png
WSH,Washington Wizards,https://a.espncdn.com/i/teamlogos/nba/500/wsh.png
